12:59:17.897 INFO  [main] - Starting CoinBotApplication using Java 17.0.7 with PID 5616 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
13:45:11.691 INFO  [main] - ADDED: id=23757 ATOR Protocol ATOR
13:45:11.691 INFO  [main] - ADDED: id=25220 HarryPotterObamaSonic10Inu (ERC-20) BITCOIN
13:45:11.691 INFO  [main] - ADDED: id=13663 Gains Network GNS
13:45:11.692 INFO  [main] - ADDED: id=3964 Reserve Rights RSR
13:45:11.692 INFO  [main] - ADDED: id=6958 Alchemy Pay ACH
13:45:11.692 INFO  [main] - ADDED: id=5566 Keep Network KEEP
13:45:11.692 INFO  [main] - ADDED: id=7737 API3 API3
13:45:11.692 INFO  [main] - ADDED: id=2467 OriginTrail TRAC
13:45:11.692 INFO  [main] - ADDED: id=10903 Coin98 C98
13:45:11.692 INFO  [main] - ADDED: id=5908 dKargo DKA
13:45:11.692 INFO  [main] - ADDED: id=23635 BinaryX BNX
13:45:11.693 INFO  [main] - ADDED: id=1674 Cannation CNNC
13:45:11.693 INFO  [main] - ADDED: id=7461 PlayDapp PLA
13:45:11.693 INFO  [main] - ADDED: id=3095 Niobium Coin NBC
13:45:11.693 INFO  [main] - ADDED: id=4979 PegNet PEG
13:45:11.693 INFO  [main] - ADDED: id=23711 Echelon Prime PRIME
13:45:11.693 INFO  [main] - ADDED: id=5113 inSure DeFi SURE
13:45:11.693 INFO  [main] - ADDED: id=1044 Global Currency Reserve GCR
13:45:11.693 INFO  [main] - ADDED: id=1788 Metal DAO MTL
13:45:11.693 INFO  [main] - ADDED: id=3950 Netrum NTR
13:45:11.693 INFO  [main] - ADDED: id=1727 Bancor BNT
13:45:11.693 INFO  [main] - ADDED: id=1567 Nano XNO
13:45:11.693 INFO  [main] - ADDED: id=3217 Ontology Gas ONG
13:45:11.693 INFO  [main] - ADDED: id=1935 LiteCoin Ultra LTCU
13:45:11.694 INFO  [main] - ADDED: id=3701 Rootstock Infrastructure Framework RIF
13:45:11.694 INFO  [main] - ADDED: id=18934 Stargate Finance STG
13:45:11.694 INFO  [main] - ADDED: id=23355 0x0.ai 0x0
13:45:11.694 INFO  [main] - ADDED: id=1816 Civic CVC
13:45:11.694 INFO  [main] - ADDED: id=1230 Steem STEEM
13:45:11.694 INFO  [main] - ADDED: id=5266 MiL.k MLK
13:45:11.694 INFO  [main] - ADDED: id=7817 Bifrost BFC
13:45:11.694 INFO  [main] - ADDED: id=25028 Ordinals ORDI
13:45:11.694 INFO  [main] - ADDED: id=9436 Dogelon Mars ELON
13:45:11.694 INFO  [main] - ADDED: id=1586 Ark ARK
13:45:11.694 INFO  [main] - ADDED: id=14519 VVS Finance VVS
13:45:11.694 INFO  [main] - ADDED: id=7411 Covalent CQT
13:45:11.694 INFO  [main] - ADDED: id=7326 DeXe DEXE
13:45:11.694 INFO  [main] - ADDED: id=10223 Vega Protocol VEGA
13:45:11.695 INFO  [main] - ADDED: id=9308 Vulcan Forged PYR PYR
13:45:11.695 INFO  [main] - ADDED: id=5049 VerusCoin VRSC
13:45:11.695 INFO  [main] - ADDED: id=2982 MVL MVL
13:45:11.695 INFO  [main] - ADDED: id=1710 Veritaseum VERI
13:45:11.695 INFO  [main] - ADDED: id=22858 Dynex DNX
13:45:11.695 INFO  [main] - ADDED: id=7288 Venus XVS
13:45:11.695 INFO  [main] - ADDED: id=1732 Numeraire NMR
13:45:11.695 INFO  [main] - ADDED: id=26914 Statter Network STT
13:45:11.695 INFO  [main] - ADDED: id=2930 IQ IQ
13:45:11.695 INFO  [main] - ADDED: id=11396 JOE JOE
13:45:11.695 INFO  [main] - ADDED: id=4120 Prom PROM
13:45:11.695 INFO  [main] - ADDED: id=10442 Decentralized Social DESO
13:45:11.695 INFO  [main] - ADDED: id=8420 DAO Maker DAO
13:45:11.695 INFO  [main] - ADDED: id=24613 Open Campus EDU
13:45:11.696 INFO  [main] - ADDED: id=2394 Telcoin TEL
13:45:11.696 INFO  [main] - ADDED: id=5939 Wrapped NXM WNXM
13:45:11.696 INFO  [main] - ADDED: id=3012 VeThor Token VTHO
13:45:11.696 INFO  [main] - ADDED: id=2505 Bluzelle BLZ
13:45:11.696 INFO  [main] - ADDED: id=1637 iExec RLC RLC
13:45:11.696 INFO  [main] - ADDED: id=3418 Metadium META
13:45:11.696 INFO  [main] - ADDED: id=21846 SPACE ID ID
13:45:11.696 INFO  [main] - ADDED: id=2071 Request REQ
13:45:11.696 INFO  [main] - ADDED: id=7497 Marlin POND
13:45:11.696 INFO  [main] - ADDED: id=21106 Radiant Capital RDNT
13:45:11.696 INFO  [main] - ADDED: id=2303 MediBloc MED
13:45:11.696 INFO  [main] - ADDED: id=23254 Core CORE
13:45:11.696 INFO  [main] - ADDED: id=6843 Radworks RAD
13:45:11.696 INFO  [main] - ADDED: id=2297 StormX STMX
13:45:11.696 INFO  [main] - ADDED: id=10688 Yield Guild Games YGG
13:45:11.697 INFO  [main] - ADDED: id=1808 OMG Network OMG
