16:38:09.276 INFO  [main] c.kabgig.CoinBot.CoinBotApplication - Starting CoinBotApplication using Java 17.0.7 with PID 97581 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
17:06:03.148 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=21296 EthereumPoW ETHW
17:06:03.148 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6836 Moonbeam GLMR
17:06:03.149 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=12999 ssv.network SSV
17:06:03.149 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6758 SushiSwap SUSHI
17:06:03.149 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3945 Harmony ONE
17:06:03.149 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6748 Centrifuge CFG
17:06:03.149 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3801 BORA BORA
17:06:03.149 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=9444 Kyber Network Crystal v2 KNC
17:06:03.149 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=12220 Osmosis OSMO
17:06:03.150 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4948 Nervos Network CKB
17:06:03.150 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=109 DigiByte DGB
17:06:03.150 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7129 TerraClassicUSD USTC
17:06:03.150 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1698 Horizen ZEN
17:06:03.150 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1343 Stratis STRAX
17:06:03.150 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5647 Kadena KDA
17:06:03.150 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=20362 Polymesh POLYX
17:06:03.150 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5691 SKALE SKL
